call_id,agent_id,timestamp,date,expected_emotion,emotion_code,intensity,actor_id,sentence,audio_file,local_path
call_2024-12-10_agent_01_001,agent_01,2024-12-10T11:15:00,2024-12-10,anger,ANG,HI,1001,IEO,call_2024-12-10_agent_01_001.wav,D:\haam_framework\data\cremad_samples\call_2024-12-10_agent_01_001.wav
call_2024-12-11_agent_01_002,agent_01,2024-12-11T14:02:00,2024-12-11,anger,ANG,HI,1002,IEO,call_2024-12-11_agent_01_002.wav,D:\haam_framework\data\cremad_samples\call_2024-12-11_agent_01_002.wav
call_2024-12-12_agent_01_003,agent_01,2024-12-12T11:33:00,2024-12-12,anger,ANG,HI,1003,IEO,call_2024-12-12_agent_01_003.wav,D:\haam_framework\data\cremad_samples\call_2024-12-12_agent_01_003.wav
call_2024-12-13_agent_01_004,agent_01,2024-12-13T09:28:00,2024-12-13,anger,ANG,HI,1004,IEO,call_2024-12-13_agent_01_004.wav,D:\haam_framework\data\cremad_samples\call_2024-12-13_agent_01_004.wav
call_2024-12-14_agent_01_005,agent_01,2024-12-14T13:38:00,2024-12-14,anger,ANG,HI,1005,IEO,call_2024-12-14_agent_01_005.wav,D:\haam_framework\data\cremad_samples\call_2024-12-14_agent_01_005.wav
call_2024-12-15_agent_01_006,agent_01,2024-12-15T11:30:00,2024-12-15,anger,ANG,HI,1006,IEO,call_2024-12-15_agent_01_006.wav,D:\haam_framework\data\cremad_samples\call_2024-12-15_agent_01_006.wav
call_2024-12-16_agent_01_007,agent_01,2024-12-16T15:19:00,2024-12-16,anger,ANG,HI,1007,IEO,call_2024-12-16_agent_01_007.wav,D:\haam_framework\data\cremad_samples\call_2024-12-16_agent_01_007.wav
call_2024-12-17_agent_01_008,agent_01,2024-12-17T11:54:00,2024-12-17,anger,ANG,HI,1008,IEO,call_2024-12-17_agent_01_008.wav,D:\haam_framework\data\cremad_samples\call_2024-12-17_agent_01_008.wav
call_2024-12-18_agent_01_009,agent_01,2024-12-18T12:08:00,2024-12-18,anger,ANG,HI,1009,IEO,call_2024-12-18_agent_01_009.wav,D:\haam_framework\data\cremad_samples\call_2024-12-18_agent_01_009.wav
call_2024-12-19_agent_01_010,agent_01,2024-12-19T10:24:00,2024-12-19,anger,ANG,HI,1010,IEO,call_2024-12-19_agent_01_010.wav,D:\haam_framework\data\cremad_samples\call_2024-12-19_agent_01_010.wav
call_2024-12-10_agent_01_011,agent_01,2024-12-10T11:21:00,2024-12-10,anger,ANG,HI,1011,IEO,call_2024-12-10_agent_01_011.wav,D:\haam_framework\data\cremad_samples\call_2024-12-10_agent_01_011.wav
call_2024-12-11_agent_01_012,agent_01,2024-12-11T13:00:00,2024-12-11,anger,ANG,HI,1012,IEO,call_2024-12-11_agent_01_012.wav,D:\haam_framework\data\cremad_samples\call_2024-12-11_agent_01_012.wav
call_2024-12-12_agent_01_013,agent_01,2024-12-12T15:03:00,2024-12-12,anger,ANG,HI,1013,IEO,call_2024-12-12_agent_01_013.wav,D:\haam_framework\data\cremad_samples\call_2024-12-12_agent_01_013.wav
call_2024-12-13_agent_01_014,agent_01,2024-12-13T13:54:00,2024-12-13,anger,ANG,HI,1014,IEO,call_2024-12-13_agent_01_014.wav,D:\haam_framework\data\cremad_samples\call_2024-12-13_agent_01_014.wav
call_2024-12-14_agent_01_015,agent_01,2024-12-14T09:11:00,2024-12-14,anger,ANG,HI,1015,IEO,call_2024-12-14_agent_01_015.wav,D:\haam_framework\data\cremad_samples\call_2024-12-14_agent_01_015.wav
call_2024-12-15_agent_01_016,agent_01,2024-12-15T09:06:00,2024-12-15,anger,ANG,HI,1016,IEO,call_2024-12-15_agent_01_016.wav,D:\haam_framework\data\cremad_samples\call_2024-12-15_agent_01_016.wav
call_2024-12-16_agent_01_017,agent_01,2024-12-16T13:27:00,2024-12-16,anger,ANG,HI,1017,IEO,call_2024-12-16_agent_01_017.wav,D:\haam_framework\data\cremad_samples\call_2024-12-16_agent_01_017.wav
call_2024-12-17_agent_01_018,agent_01,2024-12-17T09:57:00,2024-12-17,anger,ANG,HI,1018,IEO,call_2024-12-17_agent_01_018.wav,D:\haam_framework\data\cremad_samples\call_2024-12-17_agent_01_018.wav
call_2024-12-18_agent_01_019,agent_01,2024-12-18T14:09:00,2024-12-18,anger,ANG,HI,1019,IEO,call_2024-12-18_agent_01_019.wav,D:\haam_framework\data\cremad_samples\call_2024-12-18_agent_01_019.wav
call_2024-12-19_agent_01_020,agent_01,2024-12-19T13:11:00,2024-12-19,anger,ANG,HI,1020,IEO,call_2024-12-19_agent_01_020.wav,D:\haam_framework\data\cremad_samples\call_2024-12-19_agent_01_020.wav
call_2024-12-10_agent_01_021,agent_01,2024-12-10T11:51:00,2024-12-10,anger,ANG,HI,1021,IEO,call_2024-12-10_agent_01_021.wav,D:\haam_framework\data\cremad_samples\call_2024-12-10_agent_01_021.wav
call_2024-12-11_agent_01_022,agent_01,2024-12-11T13:29:00,2024-12-11,anger,ANG,HI,1022,IEO,call_2024-12-11_agent_01_022.wav,D:\haam_framework\data\cremad_samples\call_2024-12-11_agent_01_022.wav
call_2024-12-12_agent_01_023,agent_01,2024-12-12T09:52:00,2024-12-12,anger,ANG,HI,1023,IEO,call_2024-12-12_agent_01_023.wav,D:\haam_framework\data\cremad_samples\call_2024-12-12_agent_01_023.wav
call_2024-12-13_agent_01_024,agent_01,2024-12-13T11:15:00,2024-12-13,anger,ANG,HI,1024,IEO,call_2024-12-13_agent_01_024.wav,D:\haam_framework\data\cremad_samples\call_2024-12-13_agent_01_024.wav
call_2024-12-14_agent_01_025,agent_01,2024-12-14T10:12:00,2024-12-14,anger,ANG,HI,1025,IEO,call_2024-12-14_agent_01_025.wav,D:\haam_framework\data\cremad_samples\call_2024-12-14_agent_01_025.wav
call_2024-12-15_agent_01_026,agent_01,2024-12-15T12:13:00,2024-12-15,anger,ANG,HI,1026,IEO,call_2024-12-15_agent_01_026.wav,D:\haam_framework\data\cremad_samples\call_2024-12-15_agent_01_026.wav
call_2024-12-16_agent_01_027,agent_01,2024-12-16T16:42:00,2024-12-16,anger,ANG,HI,1027,IEO,call_2024-12-16_agent_01_027.wav,D:\haam_framework\data\cremad_samples\call_2024-12-16_agent_01_027.wav
call_2024-12-17_agent_01_028,agent_01,2024-12-17T09:15:00,2024-12-17,anger,ANG,HI,1028,IEO,call_2024-12-17_agent_01_028.wav,D:\haam_framework\data\cremad_samples\call_2024-12-17_agent_01_028.wav
call_2024-12-18_agent_01_029,agent_01,2024-12-18T09:08:00,2024-12-18,anger,ANG,HI,1029,IEO,call_2024-12-18_agent_01_029.wav,D:\haam_framework\data\cremad_samples\call_2024-12-18_agent_01_029.wav
call_2024-12-19_agent_01_030,agent_01,2024-12-19T14:25:00,2024-12-19,anger,ANG,HI,1030,IEO,call_2024-12-19_agent_01_030.wav,D:\haam_framework\data\cremad_samples\call_2024-12-19_agent_01_030.wav
call_2024-12-10_agent_02_031,agent_02,2024-12-10T15:11:00,2024-12-10,anger,ANG,HI,1031,IEO,call_2024-12-10_agent_02_031.wav,D:\haam_framework\data\cremad_samples\call_2024-12-10_agent_02_031.wav
call_2024-12-11_agent_02_032,agent_02,2024-12-11T16:33:00,2024-12-11,anger,ANG,HI,1032,IEO,call_2024-12-11_agent_02_032.wav,D:\haam_framework\data\cremad_samples\call_2024-12-11_agent_02_032.wav
call_2024-12-12_agent_02_033,agent_02,2024-12-12T10:45:00,2024-12-12,anger,ANG,HI,1033,IEO,call_2024-12-12_agent_02_033.wav,D:\haam_framework\data\cremad_samples\call_2024-12-12_agent_02_033.wav
call_2024-12-13_agent_02_034,agent_02,2024-12-13T16:25:00,2024-12-13,anger,ANG,HI,1034,IEO,call_2024-12-13_agent_02_034.wav,D:\haam_framework\data\cremad_samples\call_2024-12-13_agent_02_034.wav
call_2024-12-14_agent_02_035,agent_02,2024-12-14T13:14:00,2024-12-14,anger,ANG,HI,1035,IEO,call_2024-12-14_agent_02_035.wav,D:\haam_framework\data\cremad_samples\call_2024-12-14_agent_02_035.wav
call_2024-12-15_agent_02_036,agent_02,2024-12-15T09:26:00,2024-12-15,anger,ANG,HI,1036,IEO,call_2024-12-15_agent_02_036.wav,D:\haam_framework\data\cremad_samples\call_2024-12-15_agent_02_036.wav
call_2024-12-16_agent_02_037,agent_02,2024-12-16T15:14:00,2024-12-16,anger,ANG,HI,1037,IEO,call_2024-12-16_agent_02_037.wav,D:\haam_framework\data\cremad_samples\call_2024-12-16_agent_02_037.wav
call_2024-12-17_agent_02_038,agent_02,2024-12-17T16:39:00,2024-12-17,anger,ANG,HI,1038,IEO,call_2024-12-17_agent_02_038.wav,D:\haam_framework\data\cremad_samples\call_2024-12-17_agent_02_038.wav
call_2024-12-18_agent_02_039,agent_02,2024-12-18T14:24:00,2024-12-18,anger,ANG,HI,1039,IEO,call_2024-12-18_agent_02_039.wav,D:\haam_framework\data\cremad_samples\call_2024-12-18_agent_02_039.wav
call_2024-12-19_agent_02_040,agent_02,2024-12-19T10:01:00,2024-12-19,anger,ANG,HI,1040,IEO,call_2024-12-19_agent_02_040.wav,D:\haam_framework\data\cremad_samples\call_2024-12-19_agent_02_040.wav
call_2024-12-10_agent_02_041,agent_02,2024-12-10T16:14:00,2024-12-10,anger,ANG,HI,1041,IEO,call_2024-12-10_agent_02_041.wav,D:\haam_framework\data\cremad_samples\call_2024-12-10_agent_02_041.wav
