call_id,filename,filepath,dataset,emotion,transcript,split
1001_DFA_ANG_XX,1001_DFA_ANG_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_DFA_ANG_XX.wav,CREMA-D,anger,,train
1001_DFA_DIS_XX,1001_DFA_DIS_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_DFA_DIS_XX.wav,CREMA-D,disgust,,test
1001_DFA_FEA_XX,1001_DFA_FEA_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_DFA_FEA_XX.wav,CREMA-D,fear,,train
1001_DFA_NEU_XX,1001_DFA_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_DFA_NEU_XX.wav,CREMA-D,neutral,,train
1001_DFA_SAD_XX,1001_DFA_SAD_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_DFA_SAD_XX.wav,CREMA-D,sadness,,test
1001_IEO_ANG_HI,1001_IEO_ANG_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_ANG_HI.wav,CREMA-D,anger,,test
1001_IEO_ANG_LO,1001_IEO_ANG_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_ANG_LO.wav,CREMA-D,anger,,train
1001_IEO_ANG_MD,1001_IEO_ANG_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_ANG_MD.wav,CREMA-D,anger,,train
1001_IEO_DIS_HI,1001_IEO_DIS_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_DIS_HI.wav,CREMA-D,disgust,,train
1001_IEO_DIS_LO,1001_IEO_DIS_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_DIS_LO.wav,CREMA-D,disgust,,test
1001_IEO_DIS_MD,1001_IEO_DIS_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_DIS_MD.wav,CREMA-D,disgust,,train
1001_IEO_FEA_HI,1001_IEO_FEA_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_FEA_HI.wav,CREMA-D,fear,,test
1001_IEO_FEA_LO,1001_IEO_FEA_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_FEA_LO.wav,CREMA-D,fear,,train
1001_IEO_FEA_MD,1001_IEO_FEA_MD.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_FEA_MD.wav,CREMA-D,fear,,test
1001_IEO_NEU_XX,1001_IEO_NEU_XX.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_NEU_XX.wav,CREMA-D,neutral,,train
1001_IEO_SAD_HI,1001_IEO_SAD_HI.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_SAD_HI.wav,CREMA-D,sadness,,train
1001_IEO_SAD_LO,1001_IEO_SAD_LO.wav,d:/haam_framework/crema-d-mirror-main\AudioWAV\1001_IEO_SAD_LO.wav,CREMA-D,sadness,,test
